"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensationDenominator","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"html-keyboard-response","1","7868","0.0-1.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","7864","<div><h1>Welcome!</h1><p>Beep bloop bloop. Press any key to continue.</p></div>","32","","","","","","","","","","","",""
"keyset-select","2","10475","0.0-2.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","Left hand (home row)","","","","","","","","","","",""
"headphone-check","3","15288","0.0-3.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","0","-1","0.3","","","","","","","",""
"training","4","26838","0.0-4.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"block-bookend","5","27281","0.0-5.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"echo-presentation","6","28707","0.0-6.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s7_c2_matched_a60.wav","7","2","matched","60","70","509"
"echo-presentation","7","30089","0.0-7.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s7_c2_matched_a55.wav","7","2","matched","55","70","803"
"echo-presentation","8","31633","0.0-8.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s7_c2_matched_a60.wav","7","2","matched","60","70","729"
"block-bookend","9","31885","0.0-9.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"block-bookend","10","32321","0.0-10.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"echo-presentation","11","34084","0.0-11.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s21_c1_matched_a-25.wav","21","1","matched","-25","-20","906"
"echo-presentation","12","35572","0.0-12.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s21_c1_matched_a-40.wav","21","1","matched","-40","-20","865"
"echo-presentation","13","37539","0.0-13.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s21_c1_matched_a-30.wav","21","1","matched","-30","-20","1186"
"block-bookend","14","37905","0.0-14.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"block-bookend","15","38246","0.0-15.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"echo-presentation","16","39788","0.0-16.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s7_c0_matched_a30.wav","7","0","matched","30","40","675"
"echo-presentation","17","41218","0.0-17.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s7_c0_matched_a35.wav","7","0","matched","35","40","748"
"echo-presentation","18","42548","0.0-18.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s7_c0_matched_a20.wav","7","0","matched","20","40","694"
"block-bookend","19","42724","0.0-19.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"block-bookend","20","43208","0.0-20.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"echo-presentation","21","44950","0.0-21.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s21_c1_matched_a-65.wav","21","1","matched","-65","-50","864"
"echo-presentation","22","46910","0.0-22.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s21_c1_matched_a-70.wav","21","1","matched","-70","-50","1122"
"echo-presentation","23","50990","0.0-23.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s21_c1_matched_a-50.wav","21","1","matched","-50","-50","944"
"block-bookend","24","51286","0.0-24.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"block-bookend","25","51650","0.0-25.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
"echo-presentation","26","53242","0.0-26.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s14_c0_matched_a0.wav","14","0","matched","0","10","776"
"echo-presentation","27","54686","0.0-27.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s14_c0_matched_a5.wav","14","0","matched","5","10","758"
"echo-presentation","28","56110","0.0-28.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s14_c0_matched_a10.wav","14","0","matched","10","10","705"
"block-bookend","29","56907","0.0-29.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","",""
